Year,2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads)
Animal,Hogs,Sheep,Goat,Calves,Cattle,Chicken,Turkey,Rabbit
CD,,,,,,,,
Total Quebec,6932292.0,75517.0,5757.0,152974.025974026,43302.4118738404,185710042.0,3430198.01,90167.0
2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2419,636770.9242141801,6936.671144822267,528.8135887381886,14051.544842635674,3977.5757901727798,17058536.35135309,315083.43229992926,8282.357973902424
2420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2423,125215.27621006621,1364.034003985344,103.98643697370957,2763.109937565167,782.1545115735137,3354407.777977759,61958.32363630519,1628.6512181011763
2425,79317.86179854728,864.0500096419618,65.87041203316835,1750.2973981729529,495.45730626364923,2124856.172526837,39247.62137815774,1031.6723018576847
2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,133236.183582953,1451.4098476570034,110.6474898759401,2940.1063036725445,832.256935802422,3569280.8740759785,65927.18422510766,1732.9776306485826
2438,97142.10040496239,1058.2185511345374,80.6727518159028,2143.622656189347,606.7960267723344,2602351.941633991,48067.311575496555,1263.5087741852542
2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2442,2228.0298258018897,24.27106768657196,1.8502924728418075,49.16565725204924,13.917340063585653,59686.97113839429,1102.4612746673522,28.9795590409462
2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2445,43669.38458571704,475.71292665681045,36.26573246769943,963.6468821401651,272.7798652462788,1169864.6343125282,21608.240983480104,567.9993572025454
2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2452,2228.0298258018897,24.27106768657196,1.8502924728418075,49.16565725204924,13.917340063585653,59686.97113839429,1102.4612746673522,28.9795590409462
2453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2456,311478.5696471042,3393.0952625827604,258.6708877032847,6873.358883836484,1945.6441408892742,8344238.565147522,154124.08619849585,4051.3423539242785
2457,6238.483512245291,67.9589895224015,5.1808189239570615,137.66384030573786,38.96855217803983,167123.51918750402,3086.8915690685863,81.14276531464935
2458,313706.5994729061,3417.366330269332,260.5211801761265,6922.524541088533,1959.5614809528597,8403925.536285916,155226.5474731632,4080.3219129652243
2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460,30746.811596066076,334.94073407469307,25.534036125216943,678.4860700782795,192.059292877482,823680.2017098411,15213.96559040946,399.9179147650575
2461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2463,311478.5696471042,3393.0952625827604,258.6708877032847,6873.358883836484,1945.6441408892742,8344238.565147522,154124.08619849585,4051.3423539242785
2464,245528.88680336825,2674.67165906023,203.9022305071672,5418.055429175826,1533.6908750071389,6577504.21945105,121491.23246834222,3193.547406312271
2465,1525754.8247091342,16620.82715176448,1267.0802854020699,33668.64208620332,9530.594475543454,40873637.83557241,754965.4808922028,19845.202031239955
2466,2012802.1446294272,21926.48254804911,1671.554219965289,44416.25476150128,12572.925013443279,53921209.7264254,995963.515534486,26180.133637590796
2467,100261.34216108505,1092.1980458957382,83.26316127788134,2212.454576342216,626.2803028613544,2685913.701227743,49610.75736003085,1304.080156842579
2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2471,66395.28880889632,723.2778170598444,55.13871569068587,1465.1365861110676,414.7367338948525,1778671.73992415,32853.3459850871,863.5908594201967
2472,313706.5994729061,3417.366330269332,260.5211801761265,6922.524541088533,1959.5614809528597,8403925.536285916,155226.5474731632,4080.3219129652243
2473,457637.3262197082,4985.277302821881,380.0500739217073,10098.625999570913,2858.621649060493,12259703.871826187,226445.54581667416,5952.401427010349
2474,4456.0596516037795,48.54213537314392,3.700584945683615,98.33131450409849,27.834680127171307,119373.94227678858,2204.9225493347044,57.9591180818924
2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2494,112292.70322041526,1223.261811403227,93.25474063122711,2477.949125503282,701.4339392047169,3008223.3453750727,55564.04824323456,1460.5697756636885
2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
