,CD,DairyCow,DairyCow_AU,% of dairy cows (animals) in CD over total Quebec,% of dairy cows (AU) in CD over total Quebec,Milk (liters),Milk (kg P)
0,2401,90.0,121.62162162162164,0.025338123177062803,0.02533812317706281,848291.4785076408,797.3939897971823
1,2402,0.0,0.0,0.0,0.0,0.0,0.0
2,2403,0.0,0.0,0.0,0.0,0.0,0.0
3,2404,0.0,0.0,0.0,0.0,0.0,0.0
4,2405,170.0,229.7297297297297,0.047860899334451965,0.04786089933445196,1602328.3482922106,1506.188647394678
5,2406,462.0,624.3243243243244,0.1300690323089224,0.1300690323089224,4354562.92300589,4093.2891476255368
6,2407,3615.0,4885.135135135135,1.0177479476120226,1.0177479476120226,34073041.05339024,32028.658590186827
7,2408,1992.0,2691.891891891892,0.5608171263189901,0.5608171263189901,18775518.057635784,17648.98697417764
8,2409,3873.0,5233.783783783784,1.0903839007196028,1.0903839007196028,36504809.958445475,34314.52136093874
9,2410,5509.0,7444.594594594595,1.550974673138211,1.550974673138211,51924863.94553993,48809.37210880753
10,2411,3354.0,4532.4324324324325,0.9442673903985406,0.9442673903985405,31612995.765718084,29716.216019774998
11,2412,6240.0,8432.432432432433,1.7567765402763544,1.7567765402763547,58814875.84319643,55285.983292604644
12,2413,2810.0,3797.2972972972975,0.7911125125282942,0.7911125125282942,26485545.051183008,24896.412348112026
13,2414,12667.0,17117.567567567567,3.566200069820606,3.5662000698206056,119392312.8695143,112228.77409734344
14,2415,295.0,398.6486486486487,0.08305273708037253,0.08305273708037253,2780510.9573306004,2613.680299890764
15,2416,455.0,614.8648648648649,0.12809828939515086,0.12809828939515086,4288584.696899741,4031.2696150857564
16,2417,4844.0,6545.945945945946,1.3637540963299137,1.3637540963299135,45656932.465455696,42917.516517528355
17,2418,4506.0,6089.189189189189,1.2685953670649444,1.2685953670649444,42471126.690615885,39922.85908917893
18,2419,15818.0,21375.67567567568,4.453315915719772,4.453315915719772,149091940.07815403,140146.42367346477
19,2420,893.0,1206.7567567567569,0.2514104888568565,0.2514104888568565,8416936.55897026,7911.920365432044
20,2421,307.0,414.8648648648648,0.0864311535039809,0.08643115350398088,2893616.487798286,2719.999498530389
21,2422,0.0,0.0,0.0,0.0,0.0,0.0
22,2423,0.0,0.0,0.0,0.0,0.0,0.0
23,2425,957.0,1293.2432432432431,0.26942870978276784,0.2694287097827678,9020166.054797914,8478.95609151004
24,2426,10863.0,14679.72972972973,3.058311467471481,3.058311467471481,102388781.45587227,96245.45456851993
25,2427,8065.0,10898.648648648648,2.2705773713667945,2.2705773713667945,76016341.93515693,71455.3614190475
26,2428,1138.0,1537.837837837838,0.32038649083886084,0.32038649083886084,10726174.472685505,10082.604004324374
27,2429,6795.0,9182.432432432432,1.9130282998682417,1.9130282998682417,64046006.62732688,60203.24622968727
28,2430,5436.0,7345.945945945946,1.5304226398945935,1.5304226398945933,51236805.30186151,48162.59698374982
29,2431,6363.0,8598.648648648648,1.7914053086183404,1.79140530861834,59974207.53049021,56375.7550786608
30,2432,9514.0,12856.756756756757,2.678521154517506,2.678521154517506,89673834.73912995,84293.40465478215
31,2433,14722.0,19894.594594594597,4.14475388236354,4.14475388236354,138761634.96210542,130435.9368643791
32,2434,5535.0,7479.72972972973,1.5582945753893624,1.5582945753893624,52169925.92821991,49039.73037252671
33,2435,1829.0,2471.6216216216217,0.5149269698983097,0.5149269698983097,17239167.935449723,16204.817859322739
34,2436,215.0,290.5405405405405,0.06052996092298337,0.06052996092298336,2026474.087546031,1904.885642293269
35,2437,5818.0,7862.162162162162,1.6379688960461265,1.6379688960461265,54837331.355082825,51547.09147377785
36,2438,7965.0,10763.513513513511,2.242423901170058,2.2424239011700577,75073795.84792621,70569.36809705064
37,2439,20822.0,28137.83783783784,5.862115564364464,5.862115564364464,196256946.28317887,184481.52950618812
38,2440,3446.0,4656.756756756757,0.970168582979538,0.970168582979538,32480138.165970337,30531.329876012114
39,2441,4070.0,5500.0,1.1458462370071734,1.1458462370071734,38361625.75028998,36059.928205272576
40,2442,6893.0,9314.864864864863,1.9406187006610436,1.940618700661043,64969701.79281299,61071.51968524421
41,2443,0.0,0.0,0.0,0.0,0.0,0.0
42,2444,17747.0,23982.432432432437,4.996396355814818,4.996396355814818,167273654.1008345,157237.23485478442
43,2445,1575.0,2128.3783783783783,0.44341715559859907,0.44341715559859907,14845100.873883713,13954.394821450689
44,2446,7073.0,9558.108108108108,1.991294947015169,1.991294947015169,66666284.749828264,62666.30766483857
45,2447,3865.0,5222.972972972973,1.0881316231038638,1.0881316231038638,36429406.27146702,34243.641895179004
46,2448,8084.0,10924.324324324323,2.2759265307041745,2.2759265307041745,76195425.69173075,71623.70015022691
47,2449,8397.0,11347.297297297297,2.36404689241996,2.3640468924199594,79145594.94476289,74396.8592480771
48,2450,12227.0,16522.972972972973,3.4423248009549656,3.4423248009549656,115245110.08569916,108330.4034805572
49,2451,5672.0,7664.864864864865,1.5968648295588912,1.5968648295588912,53461214.067725986,50253.541223662425
50,2452,3932.0,5313.513513513513,1.1069944481356773,1.106994448135677,37060912.1499116,34837.2574209169
51,2453,3463.0,4679.72972972973,0.9749546729129832,0.9749546729129832,32640371.00079956,30681.948740751584
52,2454,11113.0,15017.567567567568,3.1286951429633216,3.1286951429633216,104745146.67394903,98460.43787351208
53,2455,5352.0,7232.432432432432,1.5067737249293347,1.5067737249293345,50445066.58858771,47418.362593272446
54,2456,8611.0,11636.486486486489,2.4242953186409757,2.424295318640976,81162643.57143661,76292.88495715041
55,2457,2886.0,3900.0,0.812509149877814,0.812509149877814,27201880.07747835,25569.76727282965
56,2458,0.0,0.0,0.0,0.0,0.0,0.0
57,2459,901.0,1217.5675675675675,0.2536627664725954,0.2536627664725954,8492340.245948715,7982.799831191792
58,2460,832.0,1124.3243243243244,0.2342368720368473,0.2342368720368473,7841983.445759525,7371.464439013953
59,2461,2022.0,2732.4324324324325,0.569263167378011,0.569263167378011,19058281.883804996,17914.784970776695
60,2462,788.0,1064.8648648648648,0.22184934515028323,0.22184934515028318,7427263.167378011,6981.6273773353305
61,2463,3349.0,4525.675675675676,0.9428597168887036,0.9428597168887036,31565868.461356547,29671.916353675155
62,2464,374.0,505.4054054054054,0.10529397853579434,0.10529397853579434,3525122.3662428632,3313.6150242682916
63,2465,0.0,0.0,0.0,0.0,0.0,0.0
64,2466,0.0,0.0,0.0,0.0,0.0,0.0
65,2467,774.0,1045.945945945946,0.21790785932274012,0.21790785932274012,7295306.715165712,6857.588312255769
66,2468,2220.0,3000.0,0.6250070383675491,0.6250070383675491,20924523.136521805,19669.051748330498
67,2469,8721.0,11785.135135135137,2.455264135857386,2.4552641358573863,82199444.2673904,77267.47761134697
68,2470,4772.0,6448.648648648648,1.3434835977882633,1.3434835977882633,44978299.28264958,42279.6013256906
69,2471,2685.0,3628.3783783783774,0.7559206747823737,0.7559206747823735,25307362.442144617,23788.92069561594
70,2472,1227.0,1658.108108108108,0.34544307931395624,0.3454430793139562,11565040.490320837,10871.138060901587
71,2473,476.0,643.2432432432432,0.1340105181364655,0.1340105181364655,4486519.375218189,4217.328212705098
72,2474,4144.0,5600.0,1.1666798049527585,1.1666798049527585,39059109.8548407,36715.56326355026
73,2475,257.0,347.2972972972973,0.07235441840561269,0.07235441840561267,2422343.4441829305,2277.002837531955
74,2476,3468.0,4686.486486486487,0.97636234642282,0.97636234642282,32687498.305161092,30726.248406851428
75,2477,0.0,0.0,0.0,0.0,0.0,0.0
76,2478,395.0,533.7837837837837,0.11120620727710898,0.11120620727710895,3723057.0445613125,3499.6736218876335
77,2479,1651.0,2231.0810810810813,0.46481379294811875,0.4648137929481188,15561435.900179055,14627.74974616831
78,2480,1008.0,1362.162162162162,0.2837869795831034,0.2837869795831034,9500864.559285577,8930.812685728442
79,2481,0.0,0.0,0.0,0.0,0.0,0.0
80,2482,324.0,437.83783783783787,0.0912172434374261,0.0912172434374261,3053849.322627507,2870.6183632698567
81,2483,576.0,778.3783783783784,0.16216398833320195,0.16216398833320195,5429065.4624489015,5103.321534701967
82,2484,1740.0,2351.3513513513512,0.48987038142321426,0.48987038142321415,16400301.91781439,15416.283802745527
83,2485,2605.0,3520.2702702702704,0.7333978986249845,0.7333978986249845,24553325.57236005,23080.126038018447
84,2486,0.0,0.0,0.0,0.0,0.0,0.0
85,2487,1449.0,1958.108108108108,0.4079437831507111,0.40794378315071106,13657492.803973017,12838.043235734636
86,2488,990.0,1337.837837837838,0.27871935494769084,0.27871935494769084,9331206.26358405,8771.333887769006
87,2489,261.0,352.7027027027027,0.07348055721348214,0.07348055721348214,2460045.2876721583,2312.442570411829
88,2490,0.0,0.0,0.0,0.0,0.0,0.0
89,2491,2354.0,3181.0810810810813,0.662732688431176,0.662732688431176,22187534.893410962,20856.282799806304
90,2492,4496.0,6075.675675675676,1.265780020045271,1.2657800200452707,42376872.08189282,39834.25975697925
91,2493,7699.0,10404.054054054057,2.1675356704467394,2.16753567044674,72566623.25589253,68212.62586053897
92,2494,4064.0,5491.891891891892,1.1441570287953693,1.1441570287953693,38305072.98505614,36006.76860595277
93,2495,231.0,312.1621621621622,0.0650345161544612,0.0650345161544612,2177281.461502945,2046.6445738127684
94,2496,0.0,0.0,0.0,0.0,0.0,0.0
95,2497,0.0,0.0,0.0,0.0,0.0,0.0
96,2498,0.0,0.0,0.0,0.0,0.0,0.0
97,2499,0.0,0.0,0.0,0.0,0.0,0.0
