CD,SwineInmature,SwineMature,SwineInmature_AU,SwineMature_AU,SwineAnimalUnits,SwineInmature_Manure_kgperyear,SwineMature_Manure_kgperyear,SwineManure_kgperyear,SwineInmature_P_kgperyear,SwineMature_P_kgperyear,SwineP_kgperyear,SwineInmature_Pinorg_kgperyear,SwineMature_Pinorg_kgperyear,SwinePinorg_kgperyear,SwineInmature_Porg_kgperyear,SwineMature_Porg_kgperyear,SwinePorg_kgperyear
2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,0.0,1006.0,0.0,376.7790262172285,376.7790262172285,0.0,2088437.0856928912,2088437.0856928912,0.0,4601.641036272463,4601.641036272463,0.0,2668.9518010380284,2668.9518010380284,0.0,1932.6892352344344,1932.6892352344344
2409,5300.0,3544.0,583.0583058305831,1327.3408239700375,1910.3991298006206,7770111.469746978,7357277.367490662,15127388.837237641,10758.615881188089,16210.950131759055,26969.566012947143,6239.997211089091,9402.351076420251,15642.348287509343,4518.618670098997,6808.599055338803,11327.2177254378
2410,18164.0,4852.0,1998.2398239823983,1817.2284644194758,3815.468288401874,26629491.459713988,10072660.775131121,36702152.23484511,36871.60355960386,22193.998318085476,59065.60187768933,21385.530064570234,12872.519024489575,34258.04908905981,15486.07349503362,9321.4792935959,24807.552788629517
2411,8346.0,2345.0,918.1518151815181,878.2771535580524,1796.4289687395706,12235726.476699676,4868175.910486909,17103902.387186587,16941.775121584113,10726.489294293167,27668.264415877282,9826.229570518784,6221.363790690037,16047.593361208821,7115.545551065327,4505.12550360313,11620.671054668457
2412,28807.0,0.0,3169.086908690869,0.0,3169.086908690869,42232754.926226646,0.0,42232754.926226646,58476.122205544394,0.0,58476.122205544394,33916.15087921575,0.0,33916.15087921575,24559.971326328643,0.0,24559.971326328643
2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,20575.0,3384.0,2263.4763476347634,1267.4157303370787,3530.892077971842,30164159.14906492,7025120.375730363,37189279.52479529,41765.75882178206,15479.078793982124,57244.83761576418,24224.140116633593,8977.865700509632,33202.005817143225,17541.618705148463,6501.213093472492,24042.831798620955
2415,21162.0,2554.0,2328.052805280528,956.554307116105,3284.607112396633,31024735.645808592,5302055.980973802,36326791.626782395,42957.32627881175,11682.496229264285,54639.82250807603,24915.24924171081,6775.847812973285,31691.097054684098,18042.077037100935,4906.648416290999,22948.725453391933
2416,26964.0,3171.0,2966.3366336633662,1187.6404494382023,4153.9770831015685,39530808.61702972,6582936.380449462,46113744.99747918,54734.96577742558,14504.77507556658,69239.74085299217,31746.280150906838,8412.769543828615,40159.049694735455,22988.685626518745,6092.005531737964,29080.691158256708
2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2418,15780.0,4915.0,1735.973597359736,1840.8239700374531,3576.797567397189,23134407.357095722,10203447.59063674,33337854.947732463,32032.25634059397,22482.172657335144,54514.42899792911,18578.708677544502,13039.660141254382,31618.368818798885,13453.547663049467,9442.51251608076,22896.060179130225
2419,199710.0,25259.0,21970.29702970297,9460.299625468166,31430.59665517114,292786596.5326734,52437209.092958994,345223805.6256324,405396.82596831565,115539.61325567211,520936.43922398775,235130.15906162307,67012.97568828982,302143.1347499129,170266.66690669255,48526.637567382284,218793.30447407483
2420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,278469.0,22660.0,30634.653465346535,8486.89138576779,39121.544851114326,408251919.0318814,47041733.9580526,455293652.98993397,565271.8878902954,103651.27821265806,668923.1661029534,327857.6949763713,60117.741363341665,387975.436339713,237414.19291392405,43533.536849316384,280947.72976324044
2427,171619.0,6075.0,18879.97799779978,2275.2808988764045,21155.258896676183,251603539.68424654,12611585.780898921,264215125.46514547,348374.13187049405,27788.239856217904,376162.371726712,202056.99648488653,16117.179116606383,218174.17560149293,146317.1353856075,11671.06073961152,157988.196125219
2428,26217.0,3532.0,2884.1584158415844,1322.8464419475656,4207.00485778915,38435662.71742576,7332365.59310864,45768028.3105344,53218.6099164355,16156.059781425784,69374.66969786127,30866.793751532587,9370.514673226953,40237.30842475954,22351.816164902906,6785.5451081988285,29137.361273101735
2429,29079.0,0.0,3199.009900990099,0.0,3199.009900990099,42631522.91108913,0.0,42631522.91108913,59028.262492277056,0.0,59028.262492277056,34236.39224552069,0.0,34236.39224552069,24791.870246756363,0.0,24791.870246756363
2430,28701.0,0.0,3157.4257425742576,0.0,3157.4257425742576,42077352.6968317,0.0,42077352.6968317,58260.94988792063,0.0,58260.94988792063,33791.35093499396,0.0,33791.35093499396,24469.598952926663,0.0,24469.598952926663
2431,81792.0,12675.0,8998.019801980197,4747.191011235956,13745.210813216152,119911878.74217828,26313061.69101133,146224940.4331896,166031.83210455396,57977.93253951637,224009.76464407032,96298.4626206413,33627.20087291949,129925.66349356079,69733.36948391267,24350.731666596876,94084.10115050955
2432,102559.0,9953.0,11282.618261826183,3727.7153558052437,15010.333617631426,150357521.17467552,20662240.868689213,171019762.04336473,208187.3370110885,45526.971405586315,253714.30841667482,120748.65546643132,26405.64341524006,147154.2988816714,87438.68154465717,19121.32799034625,106560.00953500342
2433,176125.0,16443.0,19375.687568756875,6158.426966292135,25534.11453504901,258209600.49229935,34135358.846966416,292344959.33926576,357520.9852970287,75213.50254416314,432734.4878411918,207362.17147227662,43623.83147561462,250986.00294789125,150158.81382475203,31589.67106854852,181748.48489330054
2434,11399.0,2247.0,1254.015401540154,841.5730337078652,2095.5884352480193,16711603.89502751,4664729.753033725,21376333.648061235,23139.143854653397,10278.218099904796,33417.36195455819,13420.70343569897,5961.366497944781,19382.06993364375,9718.440418954426,4316.851601960014,14035.29202091444
2435,3915.0,0.0,430.6930693069307,0.0,430.6930693069307,5739620.076237626,0.0,5739620.076237626,7947.166259405918,0.0,7947.166259405918,4609.356430455432,0.0,4609.356430455432,3337.8098289504856,0.0,3337.8098289504856
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,23901.0,2535.0,2629.3729372937296,949.438202247191,3578.8111395409205,35040270.61102312,5262612.338202266,40302882.94922539,48517.29776910878,11595.586507903274,60112.884277012054,28140.03270608309,6725.440174583899,34865.47288066699,20377.265063025687,4870.146333319375,25247.41139634506
2438,51075.0,11109.0,5618.811881188119,4160.6741573033705,9779.48603849149,74878951.56930695,23062075.134157382,97941026.70346433,103678.54832673237,50814.74182102463,154493.290147757,60133.55802950477,29472.550256194285,89606.10828569905,43544.990297227596,21342.191564830344,64887.18186205794
2439,93868.0,0.0,10326.512651265126,0.0,10326.512651265126,137616004.42305836,0.0,137616004.42305836,190545.23689346478,0.0,190545.23689346478,110516.23739820956,0.0,110516.23739820956,80028.99949525521,0.0,80028.99949525521
2440,42448.0,10867.0,4669.74697469747,4070.0374531835205,8739.78442788099,62231262.578833915,22559687.68411993,84790950.26295385,86166.36357069282,49707.78642263703,135874.14999332983,49976.49087100183,28830.516125129474,78807.0069961313,36189.87269969098,20877.27029750755,57067.142997198534
2441,26592.0,5540.0,2925.4125412541252,2074.9063670411983,5000.318908295323,38985434.75537956,11500935.839700414,50486370.59507997,53979.832738217665,25341.045070526285,79320.87780874394,31308.302988166244,14697.806140905244,46006.10912907149,22671.529750051417,10643.238929621039,33314.76867967246
2442,63649.0,9260.0,7002.090209020902,3468.164794007491,10470.255003028393,93313174.5165897,19223585.89812741,112536760.41471711,129202.85702296993,42357.05367383997,171559.91069680988,74937.65707332255,24567.09113082718,99504.74820414973,54265.199949647365,17789.962543012785,72055.16249266015
2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2444,88585.0,8269.0,9745.324532453245,3097.0037453183522,12842.328277771598,129870815.9523653,17166288.530412044,147037104.48277733,179821.1297801975,37824.02557548409,217645.15535568158,104296.25527251454,21937.93483378077,126234.19010629531,75524.87450768294,15886.090741703318,91410.96524938625
2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2446,180677.0,9697.0,19876.457645764578,3631.8352059925096,23508.292851757087,264883100.0036745,20130789.68187273,285013889.68554723,366761.21538970195,44355.97726514321,411117.19265484513,212721.50492602712,25726.46681378306,238447.9717398102,154039.7104636748,18629.510451360147,172669.22091503494
2447,99904.0,2628.0,10990.539053905391,984.2696629213483,11974.80871682674,146465135.1459627,5455678.58966294,151920813.73562562,202797.87943287074,12020.986722986116,214818.86615585687,117622.77007106502,6972.172299331946,124594.94237039697,85175.1093618057,5048.814423654168,90223.92378545988
2448,197506.0,5302.0,21727.83278327833,1985.7677902621724,23713.6005735405,289555403.008273,11006852.314456968,300562255.32272995,400922.8657037613,24252.3864555831,425175.2521593444,232535.26210818152,14066.384144238196,246601.6462524197,168387.60359557974,10186.0023113449,178573.60590692464
2449,367078.0,34696.0,40382.61826182618,12994.756554307116,53377.3748161333,538157920.3946757,72028243.66322123,610186164.057897,745141.7359310869,158706.2995969278,903848.0355280148,432182.2068400304,92049.65376621812,524231.8606062485,312959.5290910565,66656.64583070968,379616.17492176616
2450,135128.0,4562.0,14865.566556655665,1708.6142322097378,16574.180788865404,198105589.18565464,9470626.227565575,207576215.41322023,274300.04656475165,20867.481518364784,295167.52808311646,159094.02700755594,12103.139280651574,171197.16628820752,115206.01955719569,8764.342237713208,123970.3617949089
2451,69359.0,6898.0,7630.253025302531,2583.5205992509364,10213.773624553467,101684370.08116618,14320118.307265967,116004488.38843215,140793.74318930655,31552.803049908,172346.54623921454,81660.37104979779,18300.62576894664,99960.99681874443,59133.37213950875,13252.17728096136,72385.54942047011
2452,66098.0,3574.0,7271.5071507150715,1338.5767790262173,8610.08392974129,96903552.43911996,7419556.803445719,104323109.24256569,134174.14953108874,16348.176007592228,150522.32553868098,77821.00672803147,9481.942084403492,87302.94881243496,56353.14280305727,6866.233923188735,63219.37672624601
2453,55071.0,5142.0,6058.415841584158,1925.8426966292136,7984.258538213372,80737322.40574262,10674695.322696667,91412017.72843929,111790.13871564325,23520.515117806168,135310.6538334494,64838.28045507308,13641.898768327577,78480.17922340066,46951.85826057016,9878.61634947859,56830.474610048754
2454,503005.0,15623.0,55336.08360836084,5851.3108614232215,61187.394469784056,737434890.535864,32433054.264194872,769867944.8000588,1021063.6945881159,71462.66193805635,1092526.3565261723,592216.9428611072,41448.34392407268,633665.2867851799,428846.75172700867,30014.318013983666,458861.06974099233
2455,169096.0,10683.0,18602.420242024204,4001.123595505618,22603.54383752982,247904673.4128934,22177707.143595584,270082380.556489,343252.62472554354,48866.13438419356,392118.7591097371,199086.52234081525,28342.357942832263,227428.8802836475,144166.1023847283,20523.776441361293,164689.87882608958
2456,132810.0,4057.0,14610.561056105611,1519.4756554307116,16130.036711536322,194707264.96171626,8422255.722322127,203129520.6840384,269594.67456237547,18557.512608506346,288152.18717088184,156364.91124617777,10763.35731293368,167128.26855911146,113229.7633161977,7794.155295572665,121023.91861177036
2457,23804.0,0.0,2618.701870187019,0.0,2618.701870187019,34898062.91053907,0.0,34898062.91053907,48320.394799207774,0.0,48320.394799207774,28025.82898354051,0.0,28025.82898354051,20294.565815667265,0.0,20294.565815667265
2458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460,7194.0,0.0,791.4191419141914,0.0,791.4191419141914,10546826.776105616,0.0,10546826.776105616,14603.298613069264,0.0,14603.298613069264,8469.913195580173,0.0,8469.913195580173,6133.385417489091,0.0,6133.385417489091
2461,16098.0,2768.0,1770.957095709571,1036.7041198501872,2807.661215559758,23600614.04528054,5746315.957453203,29346930.00273374,32677.77329346525,12661.374143540932,45339.14743700618,18953.108510209844,7343.59700325374,26296.705513463585,13724.664783255404,5317.777140287191,19042.441923542596
2462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2463,82012.0,5797.0,9022.222222222223,2171.1610486891386,11193.383270911361,120234411.67111118,12034463.0077154,132268874.67882659,166478.41615999953,26516.61340683049,192995.02956683002,96557.48137279972,15379.635775961682,111937.1171487614,69920.9347871998,11136.977630868805,81057.9124180686
2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2469,13149.0,27.0,1446.5346534653465,10.112359550561798,1456.6470130159084,19277206.738811888,56051.492359550764,19333258.23117144,26691.517022970216,123.50328824985736,26815.020311220072,15481.079873322724,71.63190718491727,15552.711780507641,11210.43714964749,51.87138106494009,11262.308530712431
2470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2473,3069.0,0.0,337.6237623762376,0.0,337.6237623762376,4499334.358613864,0.0,4499334.358613864,6229.847573465329,0.0,6229.847573465329,3613.311592609891,0.0,3613.311592609891,2616.535980855438,0.0,2616.535980855438
2474,12507.0,1816.0,1375.907590759076,680.1498127340824,2056.0574034931583,18335997.009834994,3769981.8564794143,22105978.866314407,25388.303552079135,8306.739683768183,33695.04323584732,14725.216060205898,4817.909016585546,19543.125076791443,10663.087491873237,3488.8306671826367,14151.918159055873
2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,0.0,29.0,0.0,10.861423220973784,10.861423220973784,0.0,60203.45475655452,60203.45475655452,0.0,132.65167997206902,132.65167997206902,0.0,76.93797438380003,76.93797438380003,0.0,55.713705588268986,55.713705588268986
2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2485,15026.0,8843.0,1653.0253025302532,3311.985018726592,4965.010321256845,22028999.046116624,18357901.738352127,40386900.784468755,30501.690986930607,40449.61399975884,70951.30498668944,17690.980772419753,23460.776119860126,41151.75689227988,12810.710214510855,16988.83787989871,29799.548094409565
2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,0.0,23.0,0.0,8.614232209737828,8.614232209737828,0.0,47747.56756554325,47747.56756554325,0.0,105.20650480543407,105.20650480543407,0.0,61.01977278715175,61.01977278715175,0.0,44.18673201828231,44.18673201828231
2493,0.0,4653.0,0.0,1742.6966292134832,1742.6966292134832,0.0,9659540.516629249,9659540.516629249,0.0,21283.733341725423,21283.733341725423,0.0,12344.565338200744,12344.565338200744,0.0,8939.168003524677,8939.168003524677
2494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
